objectid,name,country,nat_leg_te,leg_rec,area_ha,gfwid,globalid,shape_Length,shape_Area
543,Kawahiva do Rio Pardo,Brazil,Indigenous Territory,Y,411848,2c2a4fa5-98c5-4ab1-ba6a-e3c8d2ae5ecf,{78139401-0B4D-486A-A9E2-BF1EA4E90F41},326833.119372239,4236528919.33705
544,Krah=-Kanela,Brazil,Indigenous Reserve,Y,7612.7653,a4358b7b-bf88-4d12-8822-e8c96e732137,{20421B6B-579C-486A-A685-25F19EAB06E7},54290.7053755175,80401012.361519
545,Utaria Wyhyna/Ir=du Irana,Brazil,Indigenous Territory,Y,177466,f85c283c-f868-4819-8d64-efd57fe8de92,{52C899F5-6C08-4B17-B364-74490CB4799A},337245.286225633,1844524017.03043
546,Braganta-Marituba,Brazil,Indigenous Territory,Y,13515,f3b0eb01-504c-496f-b16a-f249f713b483,{1ECF42C7-78D1-4AE1-9AF5-67B3E7CCDBC8},83108.230484746,136392670.44921
547,Tenharim Marmelos (Gleba B),Brazil,Indigenous Territory,Y,474741.6023,45023a4c-91ab-4439-883a-a3aba1c97984,{4C8ACD4D-391A-418B-BE6F-5C020AEBC807},402629.065600144,7428860260.10066
548,Tuwa Apekuokawera,Brazil,Indigenous Territory,Y,11764,9a959134-23ff-421c-ac2c-4e02de422460,{144864CE-AE2B-42FE-8186-031C5F7180D0},64518.0246332398,119621064.644578
549,Yvyporp Laranjinha,Brazil,Indigenous Territory,Y,1238,7afdb0ee-0c7d-4a8d-b050-07ab6747192c,{C139C58A-0972-48E6-8DC9-6F62032E428A},17558.8891429218,14764892.5551095
550,TremembT de Queimadas,Brazil,Indigenous Territory,Y,767,7dff3c81-c3db-428e-b3c0-bf2979188e61,{5AC69D59-EBBF-4692-B098-4592C450798C},16164.5829279858,7747389.02541593
551,Panambi - Lagoa Rica,Brazil,Indigenous Territory,Y,12196,1227aec2-fffe-4162-88aa-4ac2d711b143,{8C69E3CA-0C3D-4F49-8A31-501A37273E2F},68603.4704745938,142411619.477891
552,Xapec= (Pinhalzinho-Canhadpo),Brazil,Indigenous Territory,Y,660,6b021c57-828f-47c6-8392-0749539e79e5,{CF56074A-FD06-4E06-9237-522845F6D9B5},26041.4465993308,8333207.66100991
553,Passo Grande do Rio Forquilha,Brazil,Indigenous Territory,Y,1916,418db3bb-ff22-4bdb-9725-6740bb595c32,{6934865D-5663-4662-8A46-574853856AF1},32786.1722891665,24631225.5958976
554,Maracaxi,Brazil,Indigenous Territory,Y,720,d921f6a2-46ba-4828-8eed-856bb8412b52,{4B4CA22F-D083-4D18-92CF-9E1C2A8CCF97},12605.1638925906,7242064.08619895
555,Tekoha Itamarp,Brazil,Indigenous Reserve,Y,242,15be962d-b7be-4a40-a81a-bd8a03e0860a,{56552B83-E9FC-4A16-A77F-DD23CAD6328A},34716.2854859478,95830256.0672372
556,Hpm Yexux,Brazil,Indigenous Reserve,Y,522.72,9c22c572-330d-4d49-a28f-401ca038898e,{99BF3DB8-C0A9-4780-BAFE-1C423ADEB376},15299.2181854453,5780492.8198221
557,KrenrehT,Brazil,Indigenous Reserve,Y,6400,e74337ef-fb89-43a0-a7c3-cfb604368359,{54D9C2D9-F7E0-49D7-818A-68610FC36E80},52880.3905676598,62451275.5213066
558,Jacare·ba/Katauixi (restritpo uso),Brazil,Indigenous Territory,Y,0,ce443f64-3071-423f-ac6f-ad1e1b3f26ac,{A2BE066F-D98B-4A9E-95D2-85DA93DC4CCB},578038.639115429,6259379879.15162
559,Mundo Verde/Cachoeirinha,Brazil,Indigenous Reserve,Y,606.1916,be30b0c2-70bf-496c-ab97-7b3784306527,{D2B914EA-01C2-465D-A290-BDE3C7CE098A},11922.5890505376,6701713.54130172
560,Tanaru ( restritpo de uso ),Brazil,Indigenous Territory,Y,0,09f335a4-7ba8-4fb6-95c2-7f2b03b5e088,{758BD102-B38D-43C4-847C-644E09362E06},51608.9579022969,85282505.5463858
561,Piripkura ( restritpo de uso ),Brazil,Indigenous Territory,Y,0,f299a805-5574-4ee5-bb47-b9146eedbfe0,{F3EE832D-620A-4A9A-9036-DA785506ACE8},288760.486000131,2510422274.13248
562,Ilhas da Tapera/Spo FTlix/Porto,Brazil,Indigenous Reserve,Y,0,07333b50-2a85-4f98-b0c8-6e815b8b726a,{372E88A5-3235-4922-91F2-0B592FD725BA},31369.3036939305,78226548.4128549
563,Apiakß do Pontal e Isolados,Brazil,Indigenous Territory,Y,982324,230b8a50-2985-4f3a-98cf-1760539b79e6,{EF24E05E-4E08-4AA0-AADD-30A4CE43FEBB},715945.017940377,10106921608.5344
564,Tupinambß de Belmonte,Brazil,Indigenous Territory,Y,0,5c88dd21-8c0c-44ad-a5ee-8d65eacb708c,{9989CE17-2645-4B73-8F27-76634F68EBDD},52607.8231099866,103658833.856874
565,Sissafma,Brazil,Indigenous Territory,Y,8700,c87cbb50-1d9e-4cfd-9eaf-0a3a95ea3104,{9860B30E-258F-42BD-A920-64C3233426D5},75227.078962628,88624487.679562
566,Fazenda Remanso,Brazil,Indigenous Reserve,Y,336.9518,86b2fe7e-1624-4ff3-a393-167457971195,{6F6F3B5A-7AFE-4CE7-A1CF-70E01BDACA8D},16220.8882765923,3533651.67101473
567,Fazenda Sftio,Brazil,Indigenous Reserve,Y,414,89a7892c-4298-4380-a3ef-02b1f1f93902,{81948D2A-F807-4C24-A875-405B9418E3D1},13074.2256645679,4268209.94545817
568,Xukuru de Cimbres,Brazil,Indigenous Reserve,Y,1166.1793,a64d65e9-15ca-4975-92fb-56d23893a9f8,{7E930C7E-46C8-447C-BFDB-0B29E225097D},17413.4246924807,11987379.7549516
569,TremembT da Barra do Munda·,Brazil,Indigenous Territory,Y,3580,46e972e7-0baf-4c7c-97ff-6913b5263bd4,{7EE00902-A198-45DC-9C0B-C7BFDD830208},31746.1521533392,36176010.8732721
570,Coroa Vermelha - Gleba C,Brazil,Indigenous Reserve,Y,0,e5418b58-f8f0-4247-b2cb-f7b2503484c9,{2FC6092B-2D16-4923-B951-E4E1B769711F},32322.7253700263,83053716.6766289
571,Campo Bonito,Brazil,Indigenous Reserve,Y,0,51e79380-4ce5-40a9-a7a5-5e7ec3e28629,{E5B25548-783E-45AE-BD01-19CDD78F64FE},45070.6009801622,161519985.572904
572,Estrada do Mar,Brazil,Indigenous Reserve,Y,0,d1c63cc6-ac37-43ff-920d-1585f53f7ebb,{C7EBB89B-434F-4EBA-938E-548C6385A41F},45299.3075042423,163163264.146466
573,Riozinho - RS,Brazil,Indigenous Reserve,Y,0,2d8b8f15-b475-4284-bb5c-c411cc67e4c6,{FF08E504-5962-4737-AC05-B31C854B941B},45183.7565434641,162331829.017142
574,Ituna/Itata (restritpo de uso),Brazil,Indigenous Territory,Y,0,28627c95-d603-405b-99aa-f50bf39648df,{B4839A98-32A8-47AD-901B-13707ECDE2C7},211119.095465065,1386132381.45508
575,Canelinha,Brazil,Indigenous Reserve,Y,0,f8ef4cc6-2d1a-4211-9177-7d0f7a65295b,{801786B0-FC36-460E-97CC-E91D4C4DE837},44180.351916827,155202528.049931
576,-guas Claras,Brazil,Indigenous Reserve,Y,0,096519eb-1442-46e9-8f79-6cc05c3655fe,{16BD34F7-8E08-4394-BDCB-A88652A01C3A},44217.3745639414,155462707.509125
577,Amaral/Tekoß Kuriy,Brazil,Indigenous Reserve,Y,0,fdace4e9-7548-4067-9250-4f93451030fa,{5AE09EED-00B2-4790-9A39-034C072B0898},44226.3833678402,155526099.989716
578,Morro da Palha,Brazil,Indigenous Reserve,Y,0,edd1ba92-d12f-4b3b-baa6-f1709e80a6a5,{B5B46394-C077-4F73-8B0C-569684067BCF},29329.6452617978,68399698.2920625
579,Taego +wa,Brazil,Indigenous Territory,Y,29000,c0ad5a66-7161-41f8-a06c-4a437ef8b5a3,{EF33AC6F-28FD-4180-91DC-FC8AA24D735F},100858.855494181,305799076.265903
580,WedezT,Brazil,Indigenous Territory,Y,145881,6cd38897-18e5-4840-a464-a98568a0343f,{747C4C2D-FEAF-4F05-BD9C-5153A2F95F2E},259941.393534279,1553987692.49499
